timestamp,operation,id,title,status,latency,score
2025-09-29T21:30:09,GET,68daf55d6a3d277cd231069d,i want to answer fifa question who say many coutry,MISS,0.0105,0.0
2025-09-29T21:30:10,GET,68daf55d6a3d277cd2310bad,Will the correct usage of a good condom give prote,MISS,0.0136,0.1195
2025-09-29T21:30:11,GET,68daf55d6a3d277cd2311f31,Statistics: hypothesis  testing  question?,MISS,0.0097,0.1023
2025-09-29T21:30:13,GET,68daf55d6a3d277cd2312788,Is masturbation an excerise to help lower blood pr,MISS,0.0141,0.1108
2025-09-29T21:30:15,GET,68daf55d6a3d277cd2310411,i have window's xp  and i would like to know how g,MISS,0.0101,0.1364
2025-09-29T21:30:15,GET,68daf55d6a3d277cd2311f9c,who thinks i am  hot?,MISS,0.0132,0.0
2025-09-29T21:30:16,GET,68daf55d6a3d277cd2311b61,Why are Christians unavoidably wrong?,MISS,0.014,0.1088
2025-09-29T21:30:17,GET,68daf55d6a3d277cd231241a,How much money is our government spending on alter,MISS,0.0071,0.0507
2025-09-29T21:30:19,GET,68daf55d6a3d277cd23128f9,Does any know of a way to get out of paying a prep,MISS,0.0105,0.2072
2025-09-29T21:30:21,GET,68daf55d6a3d277cd2310b53,Is there a web site that we can save our resume an,MISS,0.0107,0.2885
2025-09-29T21:30:22,GET,68daf55d6a3d277cd23114e8,Why is my Win2000 box on my home network asking fo,MISS,0.014,0.1534
2025-09-29T21:30:23,GET,68daf55d6a3d277cd23126aa,who is karunanithi?,MISS,0.0115,0.4685
2025-09-29T21:30:24,GET,68daf55d6a3d277cd2311484,Where can i get help for Basic of creating Macros ,MISS,0.0139,0.1258
2025-09-29T21:30:25,GET,68daf55d6a3d277cd23116db,how can a 14 year old boy get a good job?,MISS,0.0121,0.0536
2025-09-29T21:30:27,GET,68daf55d6a3d277cd2312061,I am a volleyball player. i have no time to hang w,MISS,0.0151,0.1842
2025-09-29T21:30:27,GET,68daf55d6a3d277cd2311235,"I am just starting credit ,I need to know what is ",MISS,0.0118,0.209
2025-09-29T21:30:29,GET,68daf55d6a3d277cd2310686,What is a swivel nut on a drum? What are the tensi,MISS,0.0142,0.0819
2025-09-29T21:30:30,GET,68daf55d6a3d277cd231146d,When I click the new tab button on Internet Explor,MISS,0.014,0.1496
2025-09-29T21:30:32,GET,68daf55d6a3d277cd2311132,Was Walt Disney a troubled child???,MISS,0.0114,0.2372
2025-09-29T21:30:34,GET,68daf55d6a3d277cd231072e,Does anyone have a link to UCMJ?,MISS,0.0139,0.2288
2025-09-29T21:30:35,GET,68daf55d6a3d277cd2311612,Do You Love Him?,MISS,0.0138,0.1482
2025-09-29T21:30:36,GET,68daf55d6a3d277cd23116bb,Laptop internal mouse (touchpad) problems. Any ide,MISS,0.0106,0.0641
2025-09-29T21:30:37,GET,68daf55d6a3d277cd2311a44,Smart Bombs: How Smart Are They?,MISS,0.0141,0.3779
2025-09-29T21:30:38,GET,68daf55d6a3d277cd231265b,Who of you out there are being affected by this ma,MISS,0.0082,0.2293
2025-09-29T21:30:39,GET,68daf55d6a3d277cd2311280,Im Looking for Chris Daughtry cd from his High Sch,MISS,0.0122,0.0935
2025-09-29T21:30:41,GET,68daf55d6a3d277cd23122f5,Looking for the name of a popular 60's song which ,MISS,0.0141,0.1558
2025-09-29T21:30:43,GET,68daf55d6a3d277cd2312409,What are the laws on having infants or toddlers ri,MISS,0.0119,0.2529
2025-09-29T21:30:44,GET,68daf55d6a3d277cd2311c7f,How the birds can stand on the electricity wire?,MISS,0.0141,0.1785
2025-09-29T21:30:45,GET,68daf55d6a3d277cd231252a,three questions?,MISS,0.0136,0.0
2025-09-29T21:30:47,GET,68daf55d6a3d277cd231145b,Which came first chicken or egg?,MISS,0.0082,0.1583
2025-09-29T21:30:48,GET,68daf55d6a3d277cd2310752,tell me if there are proofs that god exist?,MISS,0.0118,0.0886
2025-09-29T21:30:50,GET,68daf55d6a3d277cd23102cd,Can you help me find poetry?,MISS,0.0128,0.1177
2025-09-29T21:30:51,GET,68daf55d6a3d277cd2312733,what day of the week is considered the day of rest,MISS,0.012,0.6135
2025-09-29T21:30:53,GET,68daf55d6a3d277cd231101f,Is there any risk of living below a telecommunicat,MISS,0.0146,0.257
2025-09-29T21:30:54,GET,68daf55d6a3d277cd23116f8,What are renters rights?,MISS,0.0144,0.2104
2025-09-29T21:30:55,GET,68daf55d6a3d277cd2312625,What makes a topic taboo for you and why?,MISS,0.0117,0.1297
2025-09-29T21:30:57,GET,68daf55d6a3d277cd231274b,is it better to get merry or not?,MISS,0.0109,0.0947
2025-09-29T21:30:57,GET,68daf55d6a3d277cd2310959,"DO you believe in life after death? If so, do you ",MISS,0.0109,0.1737
2025-09-29T21:30:59,GET,68daf55d6a3d277cd231235c,What causes headaches?,MISS,0.0107,0.1805
2025-09-29T21:31:00,GET,68daf55d6a3d277cd23107b1,Would you do something nice for a complete strange,MISS,0.0099,0.0
2025-09-29T21:31:01,GET,68daf55d6a3d277cd23112cd,How will you use x and y intercepts in life?,MISS,0.013,0.0502
2025-09-29T21:31:02,GET,68daf55d6a3d277cd2312818,Laywers and Crimals Riddle?,MISS,0.0104,0.0644
2025-09-29T21:31:04,GET,68daf55d6a3d277cd2311ad7,Who authorized the creation of the Internal Revenu,MISS,0.0134,0.2907
2025-09-29T21:31:05,GET,68daf55d6a3d277cd2311bf0,I need to find some info. on NC child Support Laws,MISS,0.0053,0.2104
2025-09-29T21:31:06,GET,68daf55d6a3d277cd23110de,"20 mins. ago, I just bought a new computer but i'm",MISS,0.0151,0.0623
2025-09-29T21:31:07,GET,68daf55d6a3d277cd2311e18,can you have justice without having truth?,MISS,0.0123,0.1317
2025-09-29T21:31:08,GET,68daf55d6a3d277cd2312885,"How come Hannity? trash and slander, and I get cen",MISS,0.0136,0.0
2025-09-29T21:31:09,GET,68daf55d6a3d277cd2311f91,USA just how stupid can you be our voting process ,MISS,0.0139,0.098
2025-09-29T21:31:11,GET,68daf55d6a3d277cd2310ddc,how come most of the quarter backs are white?,MISS,0.0119,0.1708
2025-09-29T21:31:11,GET,68daf55d6a3d277cd23120ab,What NFL player has the most interceptions?,MISS,0.0142,0.1686
2025-09-29T21:31:13,GET,68daf55d6a3d277cd2310f96,The textile industry in 1967-anything you know!!!!,MISS,0.0114,0.0679
2025-09-29T21:31:14,GET,68daf55d6a3d277cd23125b8,who can figure ?,MISS,0.0172,0.1943
2025-09-29T21:31:16,GET,68daf55d6a3d277cd23127a6,Why do people WANT to be like this?,MISS,0.0144,0.1166
2025-09-29T21:31:17,GET,68daf55d6a3d277cd2312014,What do you think?,MISS,0.0123,0.1353
2025-09-29T21:31:18,GET,68daf55d6a3d277cd2311ff8,Ladies Only: What can I do to make it more romanti,MISS,0.0085,0.1777
2025-09-29T21:31:20,GET,68daf55d6a3d277cd2311830,Explain what happens when total thrust is lost.?,MISS,0.014,0.1544
2025-09-29T21:31:22,GET,68daf55d6a3d277cd2310afb,Do you know of any Paris Hilton Website that is be,MISS,0.0135,0.0627
2025-09-29T21:31:24,GET,68daf55d6a3d277cd23113ce,Does anyone have answer to super low blood pressur,MISS,0.0107,0.1587
2025-09-29T21:31:24,GET,68daf55d6a3d277cd23127ac,where can i get shirts made in larger sizes (ex 3x,MISS,0.0097,0.0257
2025-09-29T21:31:26,GET,68daf55d6a3d277cd2311402,Beer vs. Liquor?,MISS,0.0142,0.0331
2025-09-29T21:31:28,GET,68daf55d6a3d277cd23104e0,Benzoic acid can be extracted from ether layer usi,MISS,0.0104,0.225
2025-09-29T21:31:29,GET,68daf55d6a3d277cd2311426,"When printing out a web page, the letters in the r",MISS,0.0112,0.0569
2025-09-29T21:31:30,GET,68daf55d6a3d277cd2311b0c,"What is something to say to my fiance, that will r",MISS,0.0104,0.2784
2025-09-29T21:31:30,GET,68daf55d6a3d277cd23114be,The service profile is damaged/re-install the serv,MISS,0.01,0.0
2025-09-29T21:31:31,GET,68daf55d6a3d277cd2312265,Why does my history list websites that I have not ,MISS,0.0037,0.0
2025-09-29T21:31:33,GET,68daf55d6a3d277cd2311700,how much does a 2000 pound bomb actually weigh?,MISS,0.0135,0.3545
2025-09-29T21:31:35,GET,68daf55d6a3d277cd23113db,why was the articles of confederation inportant wh,MISS,0.0148,0.3481
