timestamp,operation,id,title,status,latency,score
2025-09-29T20:08:44,GET,68dae2628ede144b28eeb929,Did You Hear About the Boy In Class?,MISS,0.0142,0.0516
2025-09-29T20:08:45,GET,68dae2628ede144b28eea354,on a scale from 1to 100 rate ronaldinho ?,MISS,0.0082,0.0
2025-09-29T20:08:46,GET,68dae2628ede144b28eea2df,When u pay the minimum payment on your credit card,MISS,0.0175,0.2302
2025-09-29T20:08:47,GET,68dae2628ede144b28eeb94c,what's something to the -1th power?,MISS,0.0143,0.1187
2025-09-29T20:08:48,GET,68dae2628ede144b28ee9459,Can I give her my number first?,MISS,0.0123,0.0438
2025-09-29T20:08:49,GET,68dae2628ede144b28eeb63f,any body stationed at Hunter Army Airfield Base.An,MISS,0.0129,0.1208
2025-09-29T20:08:50,GET,68dae2628ede144b28ee9d80,physics need help?,MISS,0.0136,0.4198
2025-09-29T20:08:51,GET,68dae2628ede144b28ee96b2,im looking to locate to canada?,MISS,0.0163,0.0818
2025-09-29T20:08:52,GET,68dae2628ede144b28eeb1ac,Problem with a printer being flooded...?,MISS,0.0123,0.1682
2025-09-29T20:08:52,GET,68dae2628ede144b28eea301,hey my skin is oliy and getting dark tell me what ,MISS,0.0126,0.1416
2025-09-29T20:08:54,GET,68dae2628ede144b28ee9791,To be or not to be that is the question?,MISS,0.0118,0.2402
2025-09-29T20:08:56,GET,68dae2628ede144b28eead4a,FORMULAE  to calculate atmospheric pressure above ,MISS,0.0144,0.1259
2025-09-29T20:08:57,GET,68dae2628ede144b28eea162,what's up with this?,MISS,0.0124,0.0692
2025-09-29T20:08:57,GET,68dae2628ede144b28eea571,"If it is true that Jesus died for our sins, then w",MISS,0.0144,0.1565
2025-09-29T20:08:59,GET,68dae2628ede144b28eeb885,How many concerts have you gone to?,MISS,0.0151,0.1097
2025-09-29T20:09:00,GET,68dae2628ede144b28eea7e9,If all other forms of racism are so bad; how come ,MISS,0.0124,0.1359
2025-09-29T20:09:02,GET,68dae2628ede144b28eea53e,Do you think earthquakes always causing a liquefac,MISS,0.0141,0.3452
2025-09-29T20:09:03,GET,68dae2628ede144b28ee9d50,does anyone know how to clean a scratched DVD or C,MISS,0.0052,0.169
2025-09-29T20:09:05,GET,68dae2628ede144b28eea27a,History of puppetry?,MISS,0.0122,0.1515
2025-09-29T20:09:05,GET,68dae2628ede144b28eeb9e7,its been emphasised to me by teachers that space i,MISS,0.0121,0.2591
2025-09-29T20:09:06,GET,68dae2628ede144b28eeb997,why are comets visable only when they are near the,MISS,0.0123,0.1808
